filename,position,color,bead,n_coma,n_astig,n_sph,notes
aberrations_avg_pos1_blue_Bead1_20251008_103543,pos1,blue,1,3,3,2,"ok"
,pos1,red,1,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_bypass matching bead=1, position=pos1, color=red"
aberrations_avg_pos1_blue_Bead2_20251008_103730,pos1,blue,2,3,3,2,"ok"
,pos1,red,2,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_bypass matching bead=2, position=pos1, color=red"
aberrations_avg_pos1_blue_Bead3_20251008_103830,pos1,blue,3,3,3,2,"ok"
,pos1,red,3,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_bypass matching bead=3, position=pos1, color=red"
aberrations_avg_pos1_blue_Bead4_20251008_104208,pos1,blue,4,3,3,2,"ok"
,pos1,red,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_bypass matching bead=4, position=pos1, color=red"
aberrations_avg_pos1_blue_Bead5_20251008_104253,pos1,blue,5,3,3,2,"ok"
,pos1,red,5,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_bypass matching bead=5, position=pos1, color=red"
aberrations_avg_pos1_blue_Bead6_20251008_104346,pos1,blue,6,3,3,2,"ok"
,pos1,red,6,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_bypass matching bead=6, position=pos1, color=red"
aberrations_avg_pos2_blue_Bead1_20251008_104453,pos2,blue,1,3,3,2,"ok"
,pos2,red,1,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_bypass matching bead=1, position=pos2, color=red"
aberrations_avg_pos2_blue_Bead2_20251008_104542,pos2,blue,2,3,3,2,"ok"
,pos2,red,2,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_bypass matching bead=2, position=pos2, color=red"
aberrations_avg_pos2_blue_Bead3_20251008_104704,pos2,blue,3,3,3,2,"ok"
,pos2,red,3,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_bypass matching bead=3, position=pos2, color=red"
aberrations_avg_pos2_blue_Bead4_20251008_104803,pos2,blue,4,3,3,2,"ok"
,pos2,red,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_bypass matching bead=4, position=pos2, color=red"
,pos2,blue,5,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_bypass matching bead=5, position=pos2, color=blue"
,pos2,red,5,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_bypass matching bead=5, position=pos2, color=red"
,pos2,blue,6,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_bypass matching bead=6, position=pos2, color=blue"
,pos2,red,6,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_bypass matching bead=6, position=pos2, color=red"
