filename,position,color,bead,n_coma,n_astig,n_sph,notes
aberrations_avg_pos1_blue_split_Bead1_20251008_112404,pos1,blue,1,3,3,2,"ok"
,pos1,red,1,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=1, position=pos1, color=red"
aberrations_avg_pos1_blue_split_Bead2_20251008_112457,pos1,blue,2,3,3,2,"ok"
,pos1,red,2,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=2, position=pos1, color=red"
aberrations_avg_pos1_blue_split_Bead3_20251008_112544,pos1,blue,3,3,3,2,"ok"
,pos1,red,3,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=3, position=pos1, color=red"
aberrations_avg_pos1_blue_split_Bead4_20251008_112625,pos1,blue,4,3,3,2,"ok"
,pos1,red,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=4, position=pos1, color=red"
aberrations_avg_pos1_blue_split_Bead5_20251008_112703,pos1,blue,5,3,3,2,"ok"
,pos1,red,5,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=5, position=pos1, color=red"
aberrations_avg_pos1_blue_split_Bead6_20251008_112741,pos1,blue,6,3,3,2,"ok"
,pos1,red,6,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=6, position=pos1, color=red"
aberrations_avg_pos1_blue_split_Bead7_20251008_112820,pos1,blue,7,3,3,2,"ok"
,pos1,red,7,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=7, position=pos1, color=red"
aberrations_avg_pos2_blue_split_Bead1_20251008_112906,pos2,blue,1,3,3,2,"ok"
,pos2,red,1,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=1, position=pos2, color=red"
aberrations_avg_pos2_blue_split_Bead2_20251008_112948,pos2,blue,2,3,3,2,"ok"
,pos2,red,2,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=2, position=pos2, color=red"
,pos2,blue,3,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=3, position=pos2, color=blue"
,pos2,red,3,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=3, position=pos2, color=red"
,pos2,blue,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=4, position=pos2, color=blue"
,pos2,red,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=4, position=pos2, color=red"
,pos2,blue,5,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=5, position=pos2, color=blue"
,pos2,red,5,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=5, position=pos2, color=red"
,pos2,blue,6,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=6, position=pos2, color=blue"
,pos2,red,6,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=6, position=pos2, color=red"
,pos2,blue,7,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=7, position=pos2, color=blue"
,pos2,red,7,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=7, position=pos2, color=red"
aberrations_avg_pos3_blue_split_Bead1_20251008_113032,pos3,blue,1,3,3,2,"ok"
,pos3,red,1,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=1, position=pos3, color=red"
aberrations_avg_pos3_blue_split_Bead2_20251008_113110,pos3,blue,2,3,3,2,"ok"
,pos3,red,2,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=2, position=pos3, color=red"
aberrations_avg_pos3_blue_split_Bead3_20251008_113150,pos3,blue,3,3,3,2,"ok"
,pos3,red,3,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=3, position=pos3, color=red"
aberrations_avg_pos3_blue_split_Bead4_20251008_113228,pos3,blue,4,3,3,2,"ok"
,pos3,red,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=4, position=pos3, color=red"
aberrations_avg_pos3_blue_split_Bead5_20251008_113319,pos3,blue,5,3,3,2,"ok"
,pos3,red,5,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=5, position=pos3, color=red"
,pos3,blue,6,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=6, position=pos3, color=blue"
,pos3,red,6,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=6, position=pos3, color=red"
,pos3,blue,7,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=7, position=pos3, color=blue"
,pos3,red,7,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_blue_split matching bead=7, position=pos3, color=red"
