filename,position,color,bead,n_coma,n_astig,n_sph,notes
aberrations_avg_pos1_red_blue_split_Bead1_20251009_050839,pos1,blue,1,3,3,2,"ok"
aberrations_avg_pos1_red_blue_split_Bead1_20251009_050839,pos1,red,1,3,3,2,"ok"
aberrations_avg_pos1_red_blue_split_Bead2_20251009_045546,pos1,blue,2,3,3,2,"ok"
aberrations_avg_pos1_red_blue_split_Bead2_20251009_045546,pos1,red,2,3,3,2,"ok"
aberrations_avg_pos1_red_blue_split_Bead3_20251009_045755,pos1,blue,3,3,3,2,"ok"
aberrations_avg_pos1_red_blue_split_Bead3_20251009_045755,pos1,red,3,3,3,2,"ok"
aberrations_avg_pos1_red_blue_split_Bead4_20251009_050955,pos1,blue,4,3,3,2,"ok"
aberrations_avg_pos1_red_blue_split_Bead4_20251009_050955,pos1,red,4,3,3,2,"ok"
aberrations_avg_pos1_red_blue_split_Bead5_20251009_045840,pos1,blue,5,3,3,2,"ok"
aberrations_avg_pos1_red_blue_split_Bead5_20251009_045840,pos1,red,5,3,3,2,"ok"
aberrations_avg_pos1_red_blue_split_Bead6_20251009_051038,pos1,blue,6,3,3,2,"ok"
aberrations_avg_pos1_red_blue_split_Bead6_20251009_051038,pos1,red,6,3,3,2,"ok"
aberrations_avg_pos2_red_blue_split_Bead1_20251009_051132,pos2,blue,1,3,3,2,"ok"
aberrations_avg_pos2_red_blue_split_Bead1_20251009_051132,pos2,red,1,3,3,2,"ok"
aberrations_avg_pos2_red_blue_split_Bead2_20251009_045938,pos2,blue,2,3,3,2,"ok"
aberrations_avg_pos2_red_blue_split_Bead2_20251009_045938,pos2,red,2,3,3,2,"ok"
aberrations_avg_pos2_red_blue_split_Bead3_20251009_050017,pos2,blue,3,3,3,2,"ok"
aberrations_avg_pos2_red_blue_split_Bead3_20251009_050017,pos2,red,3,3,3,2,"ok"
aberrations_avg_pos2_red_blue_split_Bead4_20251009_051212,pos2,blue,4,3,3,2,"ok"
aberrations_avg_pos2_red_blue_split_Bead4_20251009_051212,pos2,red,4,3,3,2,"ok"
,pos2,blue,5,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_blue_split_dual matching bead=5, position=pos2, color=blue"
,pos2,red,5,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_blue_split_dual matching bead=5, position=pos2, color=red"
,pos2,blue,6,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_blue_split_dual matching bead=6, position=pos2, color=blue"
,pos2,red,6,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_blue_split_dual matching bead=6, position=pos2, color=red"
