filename,position,color,bead,n_coma,n_astig,n_sph,notes
,pos1,blue,1,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=1, position=pos1, color=blue"
aberrations_avg_pos1_red_split_Bead1_20251009_032525,pos1,red,1,3,3,2,"ok"
,pos1,blue,2,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=2, position=pos1, color=blue"
aberrations_avg_pos1_red_split_Bead2_20251009_042240,pos1,red,2,3,3,2,"ok"
,pos1,blue,3,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=3, position=pos1, color=blue"
aberrations_avg_pos1_red_split_Bead3_20251009_042325,pos1,red,3,3,3,2,"ok"
,pos1,blue,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=4, position=pos1, color=blue"
,pos1,red,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=4, position=pos1, color=red"
,pos1,blue,5,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=5, position=pos1, color=blue"
,pos1,red,5,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=5, position=pos1, color=red"
,pos2,blue,1,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=1, position=pos2, color=blue"
aberrations_avg_pos2_red_split_Bead1_20251009_042429,pos2,red,1,3,3,2,"ok"
,pos2,blue,2,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=2, position=pos2, color=blue"
aberrations_avg_pos2_red_split_Bead2_20251009_042513,pos2,red,2,3,3,2,"ok"
,pos2,blue,3,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=3, position=pos2, color=blue"
aberrations_avg_pos2_red_split_Bead3_20251009_042554,pos2,red,3,3,3,2,"ok"
,pos2,blue,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=4, position=pos2, color=blue"
aberrations_avg_pos2_red_split_Bead4_20251009_042634,pos2,red,4,3,3,2,"ok"
,pos2,blue,5,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=5, position=pos2, color=blue"
aberrations_avg_pos2_red_split_Bead5_20251009_042715,pos2,red,5,3,3,2,"ok"
,pos3,blue,1,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=1, position=pos3, color=blue"
aberrations_avg_pos3_red_split_Bead1_20251009_042809,pos3,red,1,3,3,2,"ok"
,pos3,blue,2,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=2, position=pos3, color=blue"
aberrations_avg_pos3_red_split_Bead2_20251009_042851,pos3,red,2,3,3,2,"ok"
,pos3,blue,3,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=3, position=pos3, color=blue"
aberrations_avg_pos3_red_split_Bead3_20251009_042931,pos3,red,3,3,3,2,"ok"
,pos3,blue,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=4, position=pos3, color=blue"
,pos3,red,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=4, position=pos3, color=red"
,pos3,blue,5,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=5, position=pos3, color=blue"
,pos3,red,5,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_split matching bead=5, position=pos3, color=red"
