folder,type,count,mean_abs,std_abs,rms,std_mag
aberrations_blue_bypass,coma,30,6.08119892784326e-08,4.94625745021526e-08,7.78658639831034e-08,4.94625745021526e-08
aberrations_blue_bypass,astigmatism,30,6.90307177928409e-08,4.04593516541269e-08,7.96720392027512e-08,4.04593516541269e-08
aberrations_blue_bypass,spherical,20,4.97469256049611e-08,4.67280244538601e-08,6.74469381294515e-08,4.67280244538601e-08
aberrations_blue_split,coma,42,5.08083402360248e-08,5.04757787954373e-08,7.11943093000564e-08,5.04757787954373e-08
aberrations_blue_split,astigmatism,42,4.96172090369783e-08,4.60385391901717e-08,6.73123251452599e-08,4.60385391901717e-08
aberrations_blue_split,spherical,28,4.22066208782956e-08,6.80145152661634e-08,7.9007339946782e-08,6.80145152661634e-08
aberrations_red_blue_split_dual,coma,60,8.25265510453733e-08,5.28824264572225e-08,9.77781850498775e-08,5.28824264572225e-08
aberrations_red_blue_split_dual,astigmatism,60,7.83188032041983e-08,5.8156973075285e-08,9.72609782697874e-08,5.8156973075285e-08
aberrations_red_blue_split_dual,spherical,40,1.1708064731848e-07,1.4306744365385e-07,1.83478783717139e-07,1.4306744365385e-07
aberrations_red_bypass,coma,33,7.38487950639513e-08,4.62646042440121e-08,8.67709462890274e-08,4.62646042440121e-08
aberrations_red_bypass,astigmatism,33,7.58359356806589e-08,4.88172024362174e-08,8.97885998292606e-08,4.88172024362174e-08
aberrations_red_bypass,spherical,22,9.87796160445801e-08,1.29003074186611e-07,1.60133570972321e-07,1.29003074186611e-07
aberrations_red_split,coma,33,7.27569781054065e-08,4.04396532873898e-08,8.29420694760757e-08,4.04396532873898e-08
aberrations_red_split,astigmatism,33,5.76559686180478e-08,3.1113261164073e-08,6.529097443748e-08,3.1113261164073e-08
aberrations_red_split,spherical,22,1.15300958687625e-07,1.07880645224553e-07,1.56216305389451e-07,1.07880645224553e-07
